id	name	pop_2000	x	y
1392	Henderson	1377	402,860.7901	4,856,543.057
1393	Lowville	4548	457,879.3153	4,851,595.522
1394	Worth	234	432,012.1591	4,843,605.081
1395	Horicon	1479	603,585.9998	4,840,603.056
1396	Montague	108	442,821.4807	4,840,790.376
1397	Martinsburg	1249	457,431.8528	4,841,930.098
1398	Chester	3614	591,436.6556	4,837,915.078
1399	Greig	1365	480,167.9446	4,839,013.62
1400	Johnsburg	2450	576,388.4784	4,831,241.426
1401	Ohio	922	506,375.404	4,813,921.559
1402	Ellisburg	3541	406,464.2741	4,844,309.872
1403	Boylston	505	422,549.7611	4,834,037.958
1404	Dresden	677	622,575.521	4,829,999.829
1405	Redfield	607	433,104.6705	4,826,562.005
1406	Wells	737	558,772.604	4,813,672.235
1407	Morehouse	151	522,065.1859	4,813,161.992
1408	Osceola	265	444,105.0468	4,823,559.081
1409	Lake Pleasant	876	546,317.4603	4,824,167.307
1410	Sandy Creek	3863	411,129.3836	4,831,912.535
1411	Hampton	871	638,429.2574	4,822,939.488
1412	Williamstown	1350	427,467.7568	4,812,102.846
1413	Stony Creek	743	579,062.1078	4,808,688.419
1414	Boonville	4572	476,308.5653	4,812,629.914
1415	Florence	1086	439,853.3478	4,808,028.852
1416	Ava	725	463,359.73	4,807,727.11
1417	Mexico	5181	402,511.9951	4,812,036.419
1418	Amboy	1312	424,575.5293	4,803,352.075
1419	Granville	6456	636,922.4484	4,808,707.619
1420	Palermo	3686	397,770.6402	4,801,998.056
1421	Milton	17103	589,626.382	4,765,915.505
1422	Malta	13005	598,823.1872	4,759,899.324
1423	Sherrill	3147	451,069.1694	4,768,848.599
1424	Vernon	5335	456,673.7376	4,768,259.74
1425	Queensbury	25441	607,321.7378	4,801,849.008
1426	Deerfield	3906	487,892.5423	4,780,842.144
1427	Marcy	9469	478,354.506	4,780,080.887
1428	New Rochelle	72182	602,838.2565	4,530,764.82
1429	Turin	793	465,364.0179	4,834,640.956
1430	Orwell	1254	423,023.5705	4,823,676.072
1431	Forestport	1692	487,489.9504	4,815,863.885
1432	Whitehall	4035	630,848.7074	4,821,699.108
1433	Lyonsdale	1273	480,098.8273	4,828,169.11
1434	Thurman	1199	582,371.0482	4,817,282.545
1435	Leyden	1792	469,383.69	4,820,183.961
1436	Richland	5824	408,066.9707	4,822,164.274
1437	West Turin	1674	458,847.7927	4,826,906.629
1438	Lewis	857	454,619.6203	4,814,193.593
1439	New Haven	2930	393,640.6607	4,813,972.295
1440	Albion	2083	416,608.3998	4,816,266.591
1441	Hartford	2279	628,108.7375	4,801,919.722
1442	Parma	14822	273,016.2197	4,794,055.061
1443	Salisbury	1953	516,708.0463	4,784,859.25
1444	Remsen	1958	488,183.4976	4,801,142.831
1445	Porter	6920	177,570.7553	4,796,447.667
1446	Edinburg	1384	575,490.0151	4,786,349.08
1447	Kingsbury	11171	618,374.155	4,800,057.197
1448	Sodus	8949	333,384.5996	4,787,254.69
1449	Victory	1838	365,650.3936	4,785,222.004
1450	Clarendon	3392	251,580.5731	4,784,725.729
1451	Sweden	13716	261,004.1881	4,784,899.278
1452	Irondequoit	52354	291,158.8537	4,787,306.486
1453	Clarkson	6072	262,750.865	4,793,086.321
1454	Barre	2124	238,844.7774	4,784,959.994
1455	Corinth	5985	590,389.8923	4,786,674.063
1456	Webster	37926	301,396.5766	4,789,181.135
1457	Huron	2117	346,323.1195	4,789,623.425
1458	Moreau	13826	608,283.5189	4,789,082.339
1459	Hastings	8803	406,095.8514	4,797,169.955
1460	Williamson	6777	322,031.9347	4,789,990.831
1461	Ontario	9778	312,124.4304	4,790,146.165
